episode_name|episode_link|episode_season
Simpsons Roasting on an Open Fire|https://simpsonswiki.com/wiki/Simpsons_Roasting_on_an_Open_Fire|1
Bart the Genius|https://simpsonswiki.com/wiki/Bart_the_Genius|1
Homer's Odyssey|https://simpsonswiki.com/wiki/Homer%27s_Odyssey|1
There's No Disgrace Like Home|https://simpsonswiki.com/wiki/There%27s_No_Disgrace_Like_Home|1
Bart the General|https://simpsonswiki.com/wiki/Bart_the_General|1
Moaning Lisa|https://simpsonswiki.com/wiki/Moaning_Lisa|1
The Call of the Simpsons|https://simpsonswiki.com/wiki/The_Call_of_the_Simpsons|1
The Telltale Head|https://simpsonswiki.com/wiki/The_Telltale_Head|1
Life on the Fast Lane|https://simpsonswiki.com/wiki/Life_on_the_Fast_Lane|1
Homer's Night Out|https://simpsonswiki.com/wiki/Homer%27s_Night_Out|1
The Crepes of Wrath|https://simpsonswiki.com/wiki/The_Crepes_of_Wrath|1
Krusty Gets Busted|https://simpsonswiki.com/wiki/Krusty_Gets_Busted|1
Some Enchanted Evening|https://simpsonswiki.com/wiki/Some_Enchanted_Evening|1
"Bart Gets an ""F"""|https://simpsonswiki.com/wiki/Bart_Gets_an_%22F%22|2
Simpson and Delilah|https://simpsonswiki.com/wiki/Simpson_and_Delilah|2
Treehouse of Horror|https://simpsonswiki.com/wiki/Treehouse_of_Horror|2
Two Cars in Every Garage and Three Eyes on Every Fish|https://simpsonswiki.com/wiki/Two_Cars_in_Every_Garage_and_Three_Eyes_on_Every_Fish|2
Dancin' Homer|https://simpsonswiki.com/wiki/Dancin%27_Homer|2
Dead Putting Society|https://simpsonswiki.com/wiki/Dead_Putting_Society|2
Bart vs. Thanksgiving|https://simpsonswiki.com/wiki/Bart_vs._Thanksgiving|2
Bart the Daredevil|https://simpsonswiki.com/wiki/Bart_the_Daredevil|2
Itchy & Scratchy & Marge|https://simpsonswiki.com/wiki/Itchy_%26_Scratchy_%26_Marge|2
Bart Gets Hit by a Car|https://simpsonswiki.com/wiki/Bart_Gets_Hit_by_a_Car|2
One Fish, Two Fish, Blowfish, Blue Fish|https://simpsonswiki.com/wiki/One_Fish,_Two_Fish,_Blowfish,_Blue_Fish|2
The Way We Was|https://simpsonswiki.com/wiki/The_Way_We_Was|2
Homer vs. Lisa and the 8th Commandment|https://simpsonswiki.com/wiki/Homer_vs._Lisa_and_the_8th_Commandment|2
Principal Charming|https://simpsonswiki.com/wiki/Principal_Charming|2
Oh Brother, Where Art Thou?|https://simpsonswiki.com/wiki/Oh_Brother,_Where_Art_Thou%3F|2
"Bart's Dog Gets an ""F"""|https://simpsonswiki.com/wiki/Bart%27s_Dog_Gets_an_%22F%22|2
Old Money|https://simpsonswiki.com/wiki/Old_Money|2
Brush with Greatness|https://simpsonswiki.com/wiki/Brush_with_Greatness|2
Lisa's Substitute|https://simpsonswiki.com/wiki/Lisa%27s_Substitute|2
The War of the Simpsons|https://simpsonswiki.com/wiki/The_War_of_the_Simpsons|2
Three Men and a Comic Book|https://simpsonswiki.com/wiki/Three_Men_and_a_Comic_Book|2
Blood Feud|https://simpsonswiki.com/wiki/Blood_Feud|2
Stark Raving Dad|https://simpsonswiki.com/wiki/Stark_Raving_Dad|3
Mr. Lisa Goes to Washington|https://simpsonswiki.com/wiki/Mr._Lisa_Goes_to_Washington|3
When Flanders Failed|https://simpsonswiki.com/wiki/When_Flanders_Failed|3
Bart the Murderer|https://simpsonswiki.com/wiki/Bart_the_Murderer|3
Homer Defined|https://simpsonswiki.com/wiki/Homer_Defined|3
Like Father, Like Clown|https://simpsonswiki.com/wiki/Like_Father,_Like_Clown|3
Treehouse of Horror II|https://simpsonswiki.com/wiki/Treehouse_of_Horror_II|3
Lisa's Pony|https://simpsonswiki.com/wiki/Lisa%27s_Pony|3
Saturdays of Thunder|https://simpsonswiki.com/wiki/Saturdays_of_Thunder|3
Flaming Moe's|https://simpsonswiki.com/wiki/Flaming_Moe%27s|3
Burns Verkaufen der Kraftwerk|https://simpsonswiki.com/wiki/Burns_Verkaufen_der_Kraftwerk|3
I Married Marge|https://simpsonswiki.com/wiki/I_Married_Marge|3
Radio Bart|https://simpsonswiki.com/wiki/Radio_Bart|3
Lisa the Greek|https://simpsonswiki.com/wiki/Lisa_the_Greek|3
Homer Alone|https://simpsonswiki.com/wiki/Homer_Alone|3
Bart the Lover|https://simpsonswiki.com/wiki/Bart_the_Lover|3
Homer at the Bat|https://simpsonswiki.com/wiki/Homer_at_the_Bat|3
Separate Vocations|https://simpsonswiki.com/wiki/Separate_Vocations|3
Dog of Death|https://simpsonswiki.com/wiki/Dog_of_Death|3
Colonel Homer|https://simpsonswiki.com/wiki/Colonel_Homer|3
Black Widower|https://simpsonswiki.com/wiki/Black_Widower|3
The Otto Show|https://simpsonswiki.com/wiki/The_Otto_Show|3
Bart's Friend Falls in Love|https://simpsonswiki.com/wiki/Bart%27s_Friend_Falls_in_Love|3
Brother, Can You Spare Two Dimes?|https://simpsonswiki.com/wiki/Brother,_Can_You_Spare_Two_Dimes%3F|3
Kamp Krusty|https://simpsonswiki.com/wiki/Kamp_Krusty|4
A Streetcar Named Marge|https://simpsonswiki.com/wiki/A_Streetcar_Named_Marge|4
Homer the Heretic|https://simpsonswiki.com/wiki/Homer_the_Heretic|4
Lisa the Beauty Queen|https://simpsonswiki.com/wiki/Lisa_the_Beauty_Queen|4
Treehouse of Horror III|https://simpsonswiki.com/wiki/Treehouse_of_Horror_III|4
Itchy & Scratchy: The Movie|https://simpsonswiki.com/wiki/Itchy_%26_Scratchy:_The_Movie|4
Marge Gets a Job|https://simpsonswiki.com/wiki/Marge_Gets_a_Job|4
New Kid on the Block|https://simpsonswiki.com/wiki/New_Kid_on_the_Block|4
Mr. Plow|https://simpsonswiki.com/wiki/Mr._Plow|4
Lisa's First Word|https://simpsonswiki.com/wiki/Lisa%27s_First_Word|4
Homer's Triple Bypass|https://simpsonswiki.com/wiki/Homer%27s_Triple_Bypass|4
Marge vs. the Monorail|https://simpsonswiki.com/wiki/Marge_vs._the_Monorail|4
Selma's Choice|https://simpsonswiki.com/wiki/Selma%27s_Choice|4
Brother from the Same Planet|https://simpsonswiki.com/wiki/Brother_from_the_Same_Planet|4
