episode_name_nohomers|episode_link_nohomers|episode_name_norm|episode_name_wikisimpsons|episode_link_wikisimpsons|episode_season
Simpsons Roasting On An Open Fire|https://nohomers.net/forums/index.php?threads/r-r-simpsons-roasting-on-an-open-fire.19086/|SIMPSONROASTINGONANOPENFIRE|Simpsons Roasting on an Open Fire|https://simpsonswiki.com/wiki/Simpsons_Roasting_on_an_Open_Fire|1.0
Bart the Genius|https://nohomers.net/forums/index.php?threads/rate-review-bart-the-genius.22736/|BARTGENIUS|Bart the Genius|https://simpsonswiki.com/wiki/Bart_the_Genius|1.0
Homer's Odyssey|https://nohomers.net/forums/index.php?threads/homers-odyssey.20648/|HOMERSODYSSEY|Homer's Odyssey|https://simpsonswiki.com/wiki/Homer%27s_Odyssey|1.0
There's No Disgrace Like Home|https://nohomers.net/forums/index.php?threads/rate-and-review-theres-no-disgrace-like-home-7g04.22009/|RESNODISGRACELIKEHOME|There's No Disgrace Like Home|https://simpsonswiki.com/wiki/There%27s_No_Disgrace_Like_Home|1.0
Bart the General|https://nohomers.net/forums/index.php?threads/r-r-bart-the-general.21108/|BARTGENERAL|Bart the General|https://simpsonswiki.com/wiki/Bart_the_General|1.0
Moaning Lisa|https://nohomers.net/forums/index.php?threads/r-r-moaning-lisa.21156/|MOANINGLISA|Moaning Lisa|https://simpsonswiki.com/wiki/Moaning_Lisa|1.0
Call of the Simpsons|https://nohomers.net/forums/index.php?threads/r-r-call-of-the-simpsons.17207/|CALLOFSIMPSON|The Call of the Simpsons|https://simpsonswiki.com/wiki/The_Call_of_the_Simpsons|1.0
The Telltale Head|https://nohomers.net/forums/index.php?threads/r-r-the-telltale-head.21157/|TELLTALEHEAD|The Telltale Head|https://simpsonswiki.com/wiki/The_Telltale_Head|1.0
Life on the Fast Lane|https://nohomers.net/forums/index.php?threads/r-r-life-on-the-fast-lane.19363/|LIFEONFASTLANE|Life on the Fast Lane|https://simpsonswiki.com/wiki/Life_on_the_Fast_Lane|1.0
Homer's Night Out|https://nohomers.net/forums/index.php?threads/r-r-homers-night-out.23143/|HOMERSNIGHTOUT|Homer's Night Out|https://simpsonswiki.com/wiki/Homer%27s_Night_Out|1.0
The Crepes of Wrath|https://nohomers.net/forums/index.php?threads/r-r-the-crepes-of-wrath.21106/|CREPESOFWRATH|The Crepes of Wrath|https://simpsonswiki.com/wiki/The_Crepes_of_Wrath|1.0
Krusty Gets Busted|https://nohomers.net/forums/index.php?threads/r-r-krusty-gets-busted.15013/|KRUSTYGETSBUSTED|Krusty Gets Busted|https://simpsonswiki.com/wiki/Krusty_Gets_Busted|1.0
Some Enchanted Evening|https://nohomers.net/forums/index.php?threads/r-r-7g01-some-enchanted-evening.16911/|SOMEENCHANTEDEVENING|Some Enchanted Evening|https://simpsonswiki.com/wiki/Some_Enchanted_Evening|1.0
Bart Gets An 'F'|https://nohomers.net/forums/index.php?threads/r-r-bart-gets-an-f.19697/|BARTGETSANF|"Bart Gets an ""F"""|https://simpsonswiki.com/wiki/Bart_Gets_an_%22F%22|2.0
Simpson and Delilah|https://nohomers.net/forums/index.php?threads/r-r-simpson-and-delilah.19751/|SIMPSONDELILAH|Simpson and Delilah|https://simpsonswiki.com/wiki/Simpson_and_Delilah|2.0
Treehouse of Horror|https://nohomers.net/forums/index.php?threads/r-r-treehouse-of-horror.19752/|TREEHOUSEOFHORROR|Treehouse of Horror|https://simpsonswiki.com/wiki/Treehouse_of_Horror|2.0
Two Cars In Every Garage, Three Eyes On Every Fish|https://nohomers.net/forums/index.php?threads/r-r-two-cars-in-every-garage-three-eyes-on-every-fish.19574/|TWOCARSINEVERYGARAGETHREEEYESONEVERYFISH|Two Cars in Every Garage and Three Eyes on Every Fish|https://simpsonswiki.com/wiki/Two_Cars_in_Every_Garage_and_Three_Eyes_on_Every_Fish|2.0
Dancin' Homer|https://nohomers.net/forums/index.php?threads/r-r-dancin-homer.17522/|DANCINHOMER|Dancin' Homer|https://simpsonswiki.com/wiki/Dancin%27_Homer|2.0
Dead Putting Society|https://nohomers.net/forums/index.php?threads/rate-review-dead-putting-society-7f08.14825/|DEADPUTTINGSOCIETY|Dead Putting Society|https://simpsonswiki.com/wiki/Dead_Putting_Society|2.0
Bart vs. Thanksgiving|https://nohomers.net/forums/index.php?threads/bart-vs-thanksgiving.19658/|BARTVSTHANKSGIVING|Bart vs. Thanksgiving|https://simpsonswiki.com/wiki/Bart_vs._Thanksgiving|2.0
Bart The Daredevil|https://nohomers.net/forums/index.php?threads/r-r-bart-the-daredevil-15-years-on.21627/|BARTDAREDEVIL|Bart the Daredevil|https://simpsonswiki.com/wiki/Bart_the_Daredevil|2.0
Itchy & Scratchy & Marge|https://nohomers.net/forums/index.php?threads/r-r-itchy-scratchy-marge.19850/|ITCHYSCRATCHYMARGE|Itchy & Scratchy & Marge|https://simpsonswiki.com/wiki/Itchy_%26_Scratchy_%26_Marge|2.0
Bart Gets Hit by a Car|https://nohomers.net/forums/index.php?threads/r-r-bart-gets-hit-by-a-car.16545/|BARTGETSHITBYACAR|Bart Gets Hit by a Car|https://simpsonswiki.com/wiki/Bart_Gets_Hit_by_a_Car|2.0
One Fish, Two Fish, Blowfish, Blue Fish|https://nohomers.net/forums/index.php?threads/r-r-one-fish-two-fish-blowfish-bluefish.14377/|ONEFISHTWOFISHBLOWFISHBLUEFISH|One Fish, Two Fish, Blowfish, Blue Fish|https://simpsonswiki.com/wiki/One_Fish,_Two_Fish,_Blowfish,_Blue_Fish|2.0
The Way We Was|https://nohomers.net/forums/index.php?threads/rate-and-review-the-way-we-was.16844/|WAYWEWAS|The Way We Was|https://simpsonswiki.com/wiki/The_Way_We_Was|2.0
Homer vs. Lisa & the 8th Commandment|https://nohomers.net/forums/index.php?threads/rate-and-review-homer-vs-lisa-and-the-8th-commandment.12837/|HOMERVSLISA8THCOMMMENT|Homer vs. Lisa and the 8th Commandment|https://simpsonswiki.com/wiki/Homer_vs._Lisa_and_the_8th_Commandment|2.0
Principal Charming|https://nohomers.net/forums/index.php?threads/r-r-principal-charming.20069/|PRINCIPALCHARMING|Principal Charming|https://simpsonswiki.com/wiki/Principal_Charming|2.0
Oh Brother, Where Art Thou?|https://nohomers.net/forums/index.php?threads/r-r-oh-brother-where-art-thou.23463/|OHBRORWHEREARTTHOU|Oh Brother, Where Art Thou?|https://simpsonswiki.com/wiki/Oh_Brother,_Where_Art_Thou%3F|2.0
Bart's Dog Gets an F|https://nohomers.net/forums/index.php?threads/r-r-barts-dog-gets-an-f.22861/|BARTSDOGGETSANF|"Bart's Dog Gets an ""F"""|https://simpsonswiki.com/wiki/Bart%27s_Dog_Gets_an_%22F%22|2.0
Old Money|https://nohomers.net/forums/index.php?threads/rate-and-review-old-money.12849/|OLDMONEY|Old Money|https://simpsonswiki.com/wiki/Old_Money|2.0
Brush With Greatness|https://nohomers.net/forums/index.php?threads/score-summarize-brush-with-greatness.21202/|BRUSHWITHGREATNESS|Brush with Greatness|https://simpsonswiki.com/wiki/Brush_with_Greatness|2.0
Lisa's Substitute|https://nohomers.net/forums/index.php?threads/r-r-lisas-substitute.19036/|LISASSUBSTITUTE|Lisa's Substitute|https://simpsonswiki.com/wiki/Lisa%27s_Substitute|2.0
The War Of The Simpsons|https://nohomers.net/forums/index.php?threads/r-r-the-war-of-the-simpsons.13700/|WAROFSIMPSON|The War of the Simpsons|https://simpsonswiki.com/wiki/The_War_of_the_Simpsons|2.0
Three Men and a Comic Book|https://nohomers.net/forums/index.php?threads/r-r-three-men-and-a-comic-book.21334/|THREEMENACOMICBOOK|Three Men and a Comic Book|https://simpsonswiki.com/wiki/Three_Men_and_a_Comic_Book|2.0
Blood Feud|https://nohomers.net/forums/index.php?threads/r-r-blood-feud.10892/|BLOODFEUD|Blood Feud|https://simpsonswiki.com/wiki/Blood_Feud|2.0
Stark Raving Dad|https://nohomers.net/forums/index.php?threads/r-r-stark-raving-dad.23469/|STARKRAVINGDAD|Stark Raving Dad|https://simpsonswiki.com/wiki/Stark_Raving_Dad|3.0
Mr. Lisa Goes To Washington|https://nohomers.net/forums/index.php?threads/r-r-mr-lisa-goes-to-washington.14793/|MRLISAGOESTOWASHINGTON|Mr. Lisa Goes to Washington|https://simpsonswiki.com/wiki/Mr._Lisa_Goes_to_Washington|3.0
When Flanders Failed|https://nohomers.net/forums/index.php?threads/rate-and-review-when-flanders-failed.18927/|WHENFLERSFAILED|When Flanders Failed|https://simpsonswiki.com/wiki/When_Flanders_Failed|3.0
Bart The Murderer|https://nohomers.net/forums/index.php?threads/r-r-bart-the-murderer.16153/|BARTMURDERER|Bart the Murderer|https://simpsonswiki.com/wiki/Bart_the_Murderer|3.0
Homer Defined|https://nohomers.net/forums/index.php?threads/r-r-homer-defined.18839/|HOMERDEFINED|Homer Defined|https://simpsonswiki.com/wiki/Homer_Defined|3.0
